"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Freshmen Filing Original Application: 2 Schools ,"267,005","126,494","87,129","53,642","32,981","13,403","580,654","797,750"
Freshmen Filing Original Application: 3 Schools ,"187,993","50,555","28,327","19,179","10,843","3,416","300,313","334,713"
Freshmen Filing Original Application: 4 Schools ,"145,112","25,259","12,802","9,720","5,532","1,413","199,838","205,173"
Freshmen Filing Original Application: 5 Schools ,"99,866","12,129","5,675","4,871","2,930",612,"126,083","130,505"
Freshmen Filing Original Application: 6 Schools ,"73,315","6,983","3,172","2,975","1,829",303,"88,577","90,924"
Freshmen Filing Original Application: 7 Schools ,"50,987","3,491","1,611","1,702","1,079",174,"59,044","61,488"
Freshmen Filing Original Application: 8 Schools ,"38,792","2,031",965,"1,079",731,86,"43,684","45,295"
Freshmen Filing Original Application: 9 Schools ,"28,486","1,302",657,784,541,57,"31,827","34,445"
Freshmen Filing Original Application: 10 Schools ,"62,931","2,909","1,483","1,745","1,190",148,"70,406","66,577"
Not Freshmen Filing Original Application: 1 School ,"4,120,883","3,153,253","2,030,876","649,425","401,846","170,254","10,526,537","9,994,980"
Not Freshmen Filing Original Application: 2 Schools ,"372,066","248,897","135,485","49,233","24,711","9,386","839,778","1,171,065"
Not Freshmen Filing Original Application: 3 Schools ,"141,678","75,963","38,944","15,698","7,631","2,508","282,422","372,012"
Not Freshmen Filing Original Application: 4 Schools ,"74,930","32,805","15,743","6,902","3,196",953,"134,529","169,563"
Not Freshmen Filing Original Application: 5 Schools ,"41,730","15,213","7,448","3,262","1,557",430,"69,640","87,096"
Not Freshmen Filing Original Application: 6 Schools ,"25,314","7,873","3,768","1,701",805,256,"39,717","49,086"
Not Freshmen Filing Original Application: 7 Schools ,"15,440","4,244","1,977",947,454,118,"23,180","28,734"
Not Freshmen Filing Original Application: 8 Schools ,"10,580","2,430","1,138",609,285,81,"15,123","18,498"
Not Freshmen Filing Original Application: 9 Schools ,"7,606","1,529",789,411,183,59,"10,577","13,425"
Not Freshmen Filing Original Application: 10 Schools ,"18,993","3,200","1,557",788,449,101,"25,088","25,807"
Parent (Dependent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"160,140","121,339","100,749","39,535","28,748","13,814","464,325","499,244"
Will File but Have Not Yet Completed Taxes,"1,617,801","136,947","54,687","7,848","5,096","1,469","1,823,848","839,995"
Already Filed Taxes,"2,053,220","1,761,295","1,049,149","333,812","218,212","87,848","5,503,536","6,602,823"
Tax Filing Status Unknown,"40,073","41,368","47,673","26,757","14,649","6,226","176,746","81,898"
Student (Independent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"427,784","408,257","412,421","240,933","174,285","88,418","1,752,098","1,725,152"
Will File but Have Not Yet Completed Taxes,"787,270","95,652","57,422","24,711","16,504","5,236","986,795","512,862"
Already Filed Taxes,"1,784,510","2,591,541","2,203,444","1,111,163","747,164","343,425","8,781,247","9,226,726"
Tax Filing Status Unknown,403,495,472,352,251,98,"2,071","1,966"
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
