"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Freshmen Filing Original Application: 6 Schools ,"95,390","10,819","5,231","5,409","3,150",825,"120,824","122,212"
Freshmen Filing Original Application: 7 Schools ,"68,013","5,916","2,934","3,165","2,022",496,"82,546","84,261"
Freshmen Filing Original Application: 8 Schools ,"53,533","3,668","1,920","2,247","1,461",335,"63,164","64,400"
Freshmen Filing Original Application: 9 Schools ,"40,807","2,556","1,345","1,638","1,100",269,"47,715","50,356"
Freshmen Filing Original Application: 10 Schools ,"88,461","4,785","2,552","3,213","1,989",421,"101,421","94,940"
Not Freshmen Filing Original Application: 1 School ,"5,591,280","3,658,021","2,125,193","645,847","365,982","163,791","12,550,114","11,855,289"
Not Freshmen Filing Original Application: 2 Schools ,"495,958","277,188","130,293","47,052","25,289","10,473","986,253","1,400,940"
Not Freshmen Filing Original Application: 3 Schools ,"195,380","94,589","41,271","16,817","8,737","3,340","360,134","464,156"
Not Freshmen Filing Original Application: 4 Schools ,"108,429","43,026","18,943","8,382","4,480","1,657","184,917","222,331"
Not Freshmen Filing Original Application: 5 Schools ,"63,567","22,098","9,508","4,378","2,346",849,"102,746","120,744"
Not Freshmen Filing Original Application: 6 Schools ,"38,692","12,385","5,278","2,730","1,392",502,"60,979","71,093"
Not Freshmen Filing Original Application: 7 Schools ,"24,643","7,121","3,144","1,524",838,294,"37,564","43,403"
Not Freshmen Filing Original Application: 8 Schools ,"16,571","4,518","1,970","1,093",545,194,"24,891","28,574"
Not Freshmen Filing Original Application: 9 Schools ,"12,208","3,054","1,347",741,430,142,"17,922","20,979"
Not Freshmen Filing Original Application: 10 Schools ,"24,474","5,035","2,253","1,278",746,241,"34,027","34,678"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"253,351","147,603","108,070","45,105","28,715","15,439","598,283","640,375"
Will File but Have Not Yet Completed Taxes,"2,269,432","150,592","62,197","9,384","5,681","1,553","2,498,839","1,129,640"
Already Filed Taxes: IRS Data Not Transferred,"1,931,967","1,452,457","761,491","239,417","138,406","57,188","4,580,926","5,887,747"
Already Filed Taxes: IRS Data Transferred,"247,161","373,162","214,888","71,159","43,490","26,726","976,586","1,244,230"
Tax Filing Status Unknown,"63,568","53,037","49,468","27,481","13,685","6,395","213,634","105,313"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"859,693","606,550","517,514","295,845","189,522","99,195","2,568,319","2,505,313"
Will File but Have Not Yet Completed Taxes,"1,276,375","120,909","54,724","22,928","16,069","4,730","1,495,735","777,005"
Already Filed Taxes: IRS Data Not Transferred,"1,770,464","1,875,228","1,311,964","599,980","385,709","177,028","6,120,373","6,584,894"
Already Filed Taxes: IRS Data Transferred,"510,177","996,886","716,404","341,642","210,268","119,558","2,894,935","3,072,758"
Tax Filing Status Unknown,339,402,389,273,190,85,"1,678","2,033"
Application Completion Times (Minutes:Seconds) Among Non-Users of the IRS Data Retrieval Tool,,,,,,,,
All Applicants,28:11,25:37,25:44,26:31,24:18,21:08,26:47,N/A
"Dependent, Original, and Full Form",39:57,36:35,36:46,38:49,36:09,30:02,38:32,N/A
"Dependent, Original, and EZ Form",33:11,32:07,32:40,34:08,30:44,25:49,32:36,N/A
"Dependent, Renewal, and Full Form",32:35,31:22,31:27,32:13,29:40,25:52,32:08,N/A
"Dependent, Renewal, and EZ Form",21:09,22:05,23:05,23:57,20:55,17:57,21:43,N/A
"Independent, Original, and Full Form",24:43,24:05,24:31,24:54,22:52,20:28,24:13,N/A
"Independent, Original, and EZ Form",20:32,20:44,21:18,21:28,19:02,16:53,20:35,N/A
"Independent, Renewal, and Full Form",18:53,18:17,18:26,19:01,16:20,14:21,18:36,N/A
"Independent, Renewal, and EZ Form",14:00,14:30,15:06,15:34,12:27,10:52,14:18,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
