"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Already Filed Taxes: IRS Data Not Transferred,"1,147,902","1,079,140","800,994","371,619","244,341","127,708","3,771,704","3,713,987"
Already Filed Taxes: IRS Data Transferred,"794,895","1,555,606","1,093,019","442,477","265,620","131,612","4,283,229","5,180,150"
Tax Filing Status Unknown,130,203,210,160,89,58,850,984
Application Completion Times (Minutes:Seconds) Among Non-Users of the IRS Data Retrieval Tool,,,,,,,,
All Applicants,29:51,25:42,25:01,26:23,24:01,23:43,27:53,N/A
"Dependent, Original, and Full Form",43:06,37:39,37:06,41:07,37:04,36:00,41:22,N/A
"Dependent, Original, and EZ Form",35:59,33:31,33:57,35:29,31:24,31:01,34:50,N/A
"Dependent, Renewal, and Full Form",32:18,31:43,31:25,32:02,28:40,28:26,32:05,N/A
"Dependent, Renewal, and EZ Form",21:43,22:08,22:28,23:04,19:56,19:32,21:55,N/A
"Independent, Original, and Full Form",24:37,23:41,23:42,24:20,22:35,22:10,23:54,N/A
"Independent, Original, and EZ Form",20:07,20:06,20:31,20:41,18:52,18:24,20:05,N/A
"Independent, Renewal, and Full Form",18:21,16:53,16:30,17:04,14:49,13:39,17:40,N/A
"Independent, Renewal, and EZ Form",13:15,12:44,12:59,13:25,11:13,10:09,13:03,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
