"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Freshmen Filing Original Application: 2 Schools ,"327,557","158,346","109,877","72,675","35,477","16,029","719,961","867,142"
Freshmen Filing Original Application: 3 Schools ,"245,465","75,699","46,971","35,124","15,214","5,891","424,364","439,763"
Freshmen Filing Original Application: 4 Schools ,"197,131","43,631","26,027","22,298","9,255","3,041","301,383","295,004"
Freshmen Filing Original Application: 5 Schools ,"147,230","25,627","15,004","14,558","5,764","1,627","209,810","204,283"
Freshmen Filing Original Application: 6 Schools ,"113,692","16,587","9,705","10,158","3,743",988,"154,873","150,238"
Freshmen Filing Original Application: 7 Schools ,"82,741","10,067","6,262","6,937","2,493",707,"109,207","106,809"
Freshmen Filing Original Application: 8 Schools ,"66,401","7,066","4,403","5,058","1,910",472,"85,310","83,394"
Freshmen Filing Original Application: 9 Schools ,"52,165","5,313","3,750","4,032","1,481",379,"67,120","67,888"
Freshmen Filing Original Application: 10 Schools ,"117,807","9,186","6,645","8,512","2,647",650,"145,447","128,443"
Not Freshmen Filing Original Application: 1 School ,"5,503,229","3,603,928","2,092,824","624,705","345,600","163,961","12,334,247","11,742,828"
Not Freshmen Filing Original Application: 2 Schools ,"579,950","335,845","169,611","61,245","27,631","11,762","1,186,044","1,537,638"
Not Freshmen Filing Original Application: 3 Schools ,"243,068","122,928","60,563","24,456","10,032","3,910","464,957","550,393"
Not Freshmen Filing Original Application: 4 Schools ,"138,182","61,741","30,032","13,095","5,003","1,863","249,916","281,819"
Not Freshmen Filing Original Application: 5 Schools ,"84,439","33,863","16,622","7,376","2,844","1,006","146,150","161,457"
Not Freshmen Filing Original Application: 6 Schools ,"53,046","19,829","9,817","4,906","1,767",631,"89,996","98,806"
Not Freshmen Filing Original Application: 7 Schools ,"34,481","12,257","6,244","3,115","1,112",434,"57,643","63,781"
Not Freshmen Filing Original Application: 8 Schools ,"24,702","8,373","4,240","2,215",806,266,"40,602","44,667"
Not Freshmen Filing Original Application: 9 Schools ,"18,676","6,397","3,315","1,790",621,223,"31,022","34,605"
Not Freshmen Filing Original Application: 10 Schools ,"34,823","9,623","5,141","3,070","1,067",320,"54,044","53,563"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"278,727","153,063","110,787","45,963","25,843","13,755","628,138","669,865"
Will File but Have Not Yet Completed Taxes,"2,293,744","175,663","65,055","9,954","5,201","1,304","2,550,921","869,957"
Already Filed Taxes: IRS Data Not Transferred,"1,955,905","1,361,896","682,172","221,513","109,327","49,130","4,379,943","5,016,648"
Already Filed Taxes: IRS Data Transferred,"328,323","469,020","297,834","106,984","61,446","32,294","1,295,901","2,496,042"
Tax Filing Status Unknown,"68,971","56,269","53,462","29,440","13,135","6,291","227,568","115,498"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"861,070","587,079","499,576","274,753","164,221","91,068","2,477,767","2,454,641"
Will File but Have Not Yet Completed Taxes,"1,210,282","147,617","65,535","24,735","14,711","4,492","1,467,372","563,478"
Already Filed Taxes: IRS Data Not Transferred,"1,690,596","1,615,268","1,055,356","478,195","282,236","145,736","5,267,387","5,074,627"
Already Filed Taxes: IRS Data Transferred,"570,260","1,183,345","917,459","434,323","266,367","136,285","3,508,039","4,542,249"
Tax Filing Status Unknown,201,362,421,493,132,63,"1,672","1,703"
Application Completion Times (Minutes:Seconds) Among Non-Users of the IRS Data Retrieval Tool,,,,,,,,
All Applicants,30:12,26:41,25:40,26:43,24:23,21:25,28:15,N/A
"Dependent, Original, and Full Form",44:51,39:17,38:05,40:42,37:54,31:51,42:37,N/A
"Dependent, Original, and EZ Form",36:36,33:30,32:57,34:30,31:38,26:40,34:45,N/A
"Dependent, Renewal, and Full Form",33:45,33:08,32:02,33:03,28:16,25:48,33:24,N/A
"Dependent, Renewal, and EZ Form",21:36,22:15,22:04,23:11,19:55,17:55,21:50,N/A
"Independent, Original, and Full Form",25:08,24:23,24:14,24:29,22:48,20:36,24:19,N/A
"Independent, Original, and EZ Form",20:10,20:15,20:15,20:23,18:45,16:36,19:57,N/A
"Independent, Renewal, and Full Form",19:04,18:40,18:02,18:28,15:22,14:07,18:45,N/A
"Independent, Renewal, and EZ Form",13:19,13:50,13:48,14:11,11:41,10:33,13:30,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
