"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Certificate or Diploma (At Least 2 Years),"95,196","92,957","77,274","23,162","18,965","9,803","317,357","317,577"
Teaching Credential (Nondegree),"23,029","17,513","16,042","5,593","4,773","3,053","70,003","67,860"
Graduate or Professional Degree,"873,609","632,336","380,480","118,718","94,497","51,594","2,151,234","2,144,523"
Other/Undecided,"362,274","234,690","208,049","61,960","48,220","26,153","941,346","887,261"
Blank,"25,306","18,142","16,918","6,255","4,922","2,968","74,511","68,754"
Parent Education Level,,,,,,,,
Neither Parent Completed College or Beyond,"3,683,718","2,431,335","1,740,674","548,055","455,884","235,129","9,094,795","9,098,173"
One Parent Completed College or Beyond,"2,228,886","1,367,742","900,813","250,737","196,338","99,279","5,043,795","5,042,786"
Both Parents Completed College or Beyond,"2,304,223","1,194,401","701,723","189,917","141,177","71,024","4,602,465","4,600,096"
Pell Eligibility Status,,,,,,,,
Pell Eligible,"3,734,364","2,488,434","1,718,073","527,281","447,383","228,064","9,143,599","10,533,954"
Pell Ineligible,"4,482,463","2,505,044","1,625,137","461,428","346,016","177,368","9,597,456","8,207,101"
Dependency Status,,,,,,,,
Dependent,"4,825,031","2,082,618","1,197,354","265,972","187,179","97,159","8,655,313","8,694,465"
Independent,"3,391,796","2,910,860","2,145,856","722,737","606,220","308,273","10,085,742","10,046,590"
Renewal Application Status,,,,,,,,
Original,"4,152,387","2,525,284","1,982,153","754,280","640,752","348,001","10,402,857",N/A
Renewal,"4,064,440","2,468,194","1,361,057","234,429","152,647","57,431","8,338,198",N/A
Source of Application/Correction,,,,,,,,
FAFSA on the Web (FOTW),"8,200,982","4,956,300","3,303,772","969,515","776,082","394,895","18,601,546","15,369,490"
Web Financial Aid Administrator (Web FAA),"11,168","25,070","28,945","13,668","13,896","8,580","101,327","920,503"
Other Electronic (School Batch),320,"3,263","2,993","1,009",819,466,"8,870","2,320,537"
Paper FAFSA,"4,357","8,845","7,500","4,517","2,602","1,491","29,312","130,525"
Schools Listed,,,,,,,,
Freshmen Filing Original Application: 1 School ,"1,111,184","1,003,159","942,956","384,598","359,109","204,601","4,005,607","4,000,789"
Freshmen Filing Original Application: 2 Schools ,"304,418","131,413","87,858","30,746","21,710","12,361","588,506","696,094"
Freshmen Filing Original Application: 3 Schools ,"237,475","65,072","40,320","16,090","10,391","5,269","374,617","381,684"
Freshmen Filing Original Application: 4 Schools ,"185,544","35,881","21,654","9,689","5,501","2,659","260,928","254,581"
Freshmen Filing Original Application: 5 Schools ,"142,450","21,383","13,303","6,689","3,331","1,499","188,655","183,042"
Freshmen Filing Original Application: 6 Schools ,"111,617","13,732","8,654","4,910","2,139",930,"141,982","137,162"
Freshmen Filing Original Application: 7 Schools ,"83,564","8,412","5,884","3,577","1,410",600,"103,447","102,062"
Freshmen Filing Original Application: 8 Schools ,"71,258","5,889","4,312","2,780","1,073",442,"85,754","83,434"
Freshmen Filing Original Application: 9 Schools ,"57,522","4,412","3,420","2,301",863,397,"68,915","70,484"
Freshmen Filing Original Application: 10 Schools ,"130,949","6,657","6,062","4,887","1,445",501,"150,501","130,034"
Not Freshmen Filing Original Application: 1 School ,"4,781,677","3,193,743","1,935,380","450,339","339,599","155,088","10,855,826","10,420,123"
Not Freshmen Filing Original Application: 2 Schools ,"475,267","281,023","152,565","37,759","25,962","11,842","984,418","1,247,174"
Not Freshmen Filing Original Application: 3 Schools ,"200,794","100,126","54,280","14,286","9,207","4,208","382,901","442,210"
Not Freshmen Filing Original Application: 4 Schools ,"113,640","49,839","26,130","7,348","4,637","2,052","203,646","223,836"
Not Freshmen Filing Original Application: 5 Schools ,"70,148","27,259","14,439","4,332","2,563","1,103","119,844","129,694"
Not Freshmen Filing Original Application: 6 Schools ,"44,350","16,110","8,759","2,567","1,504",637,"73,927","79,347"
Not Freshmen Filing Original Application: 7 Schools ,"29,606","10,169","5,631","1,809",960,415,"48,590","52,481"
Not Freshmen Filing Original Application: 8 Schools ,"21,407","6,894","3,979","1,228",676,284,"34,468","36,598"
Not Freshmen Filing Original Application: 9 Schools ,"16,417","5,145","3,040",977,519,201,"26,299","28,505"
Not Freshmen Filing Original Application: 10 Schools ,"27,540","7,160","4,584","1,797",800,343,"42,224","41,721"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"256,954","139,198","102,110","25,167","21,301","11,543","556,273","585,256"
Will File but Have Not Yet Completed Taxes,"2,562,153","156,921","68,906","6,184","3,408",944,"2,798,516","1,127,057"
Already Filed Taxes: IRS Data Not Transferred,"1,505,273","1,154,080","637,895","136,171","104,234","79,624","3,617,275","4,160,750"
Already Filed Taxes: IRS Data Transferred,"435,264","580,317","338,767","84,116","46,706",0,"1,485,172","2,727,762"
Tax Filing Status Unknown,"65,387","52,102","49,676","14,334","11,530","5,048","198,077","93,640"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"592,751","411,106","357,865","128,719","117,762","60,699","1,668,902","1,623,060"
Will File but Have Not Yet Completed Taxes,"993,845","99,349","52,542","12,017","10,215","3,494","1,171,462","615,141"
Already Filed Taxes: IRS Data Not Transferred,"1,115,171","1,104,925","811,540","260,350","275,134","244,030","3,811,150","3,748,890"
Already Filed Taxes: IRS Data Transferred,"689,970","1,295,296","923,708","321,518","203,035",0,"3,433,527","4,058,648"
Tax Filing Status Unknown,59,184,201,133,74,50,701,851
Application Completion Times (Minutes:Seconds),,,,,,,,
All Applicants,35:52,29:39,29:26,26:24,23:52,23:41,31:49,N/A
"Dependent, Original, and Full Form",53:49,48:59,48:55,46:15,40:31,36:02,51:10,N/A
"Dependent, Original, and EZ Form",43:55,41:18,41:45,38:35,33:51,30:00,41:52,N/A
"Dependent, Renewal, and Full Form",38:09,37:10,37:07,34:22,32:17,31:10,37:35,N/A
"Dependent, Renewal, and EZ Form",27:53,28:34,28:34,26:27,24:46,21:27,28:04,N/A
"Independent, Original, and Full Form",28:00,26:24,26:50,23:03,21:28,21:51,25:59,N/A
"Independent, Original, and EZ Form",23:19,22:47,23:51,20:15,18:17,17:49,22:18,N/A
"Independent, Renewal, and Full Form",17:44,15:23,15:15,13:50,13:37,15:20,16:16,N/A
"Independent, Renewal, and EZ Form",12:36,12:02,12:32,11:18,11:00,11:38,12:18,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
