"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Freshmen Filing Original Application: 6 Schools ,"111,735","15,901","9,054","8,999","3,668","1,010","150,367","145,219"
Freshmen Filing Original Application: 7 Schools ,"81,369","9,330","5,746","6,108","2,466",580,"105,599","103,622"
Freshmen Filing Original Application: 8 Schools ,"67,505","6,383","4,042","4,492","1,769",435,"84,626","82,797"
Freshmen Filing Original Application: 9 Schools ,"52,255","4,950","3,228","3,574","1,400",351,"65,758","67,185"
Freshmen Filing Original Application: 10 Schools ,"120,956","8,473","5,915","7,141","2,680",607,"145,772","127,261"
Not Freshmen Filing Original Application: 1 School ,"5,218,819","3,634,174","2,096,019","594,859","343,892","165,777","12,053,540","11,484,843"
Not Freshmen Filing Original Application: 2 Schools ,"569,305","353,700","180,074","61,137","29,197","12,870","1,206,283","1,550,111"
Not Freshmen Filing Original Application: 3 Schools ,"240,142","127,081","63,959","24,243","10,615","4,395","470,435","554,696"
Not Freshmen Filing Original Application: 4 Schools ,"136,948","63,587","31,368","12,726","5,545","2,008","252,182","283,448"
Not Freshmen Filing Original Application: 5 Schools ,"84,119","34,956","17,399","7,358","2,978","1,082","147,892","163,250"
Not Freshmen Filing Original Application: 6 Schools ,"53,239","20,789","10,221","4,587","1,803",731,"91,370","99,952"
Not Freshmen Filing Original Application: 7 Schools ,"35,191","12,434","6,420","2,932","1,176",397,"58,550","64,443"
Not Freshmen Filing Original Application: 8 Schools ,"25,096","8,937","4,381","2,088",800,297,"41,599","45,566"
Not Freshmen Filing Original Application: 9 Schools ,"19,269","6,578","3,430","1,621",638,227,"31,763","35,618"
Not Freshmen Filing Original Application: 10 Schools ,"35,014","10,026","5,284","2,807","1,016",339,"54,486","54,147"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"276,170","157,979","113,772","43,499","26,141","14,259","631,820","682,839"
Will File but Have Not Yet Completed Taxes,"2,471,767","174,549","65,894","8,448","4,760","1,195","2,726,613","813,738"
Already Filed Taxes: IRS Data Not Transferred,"1,657,768","1,206,821","608,271","187,887","101,233","44,727","3,806,707","4,540,074"
Already Filed Taxes: IRS Data Transferred,"371,940","669,296","386,892","122,017","67,361","36,149","1,653,655","2,982,033"
Tax Filing Status Unknown,"68,533","57,486","54,080","28,162","13,220","6,364","227,845","113,097"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,
Not Going to File Taxes,"801,289","561,074","483,311","251,088","159,088","87,400","2,343,250","2,290,176"
Will File but Have Not Yet Completed Taxes,"1,247,652","118,416","56,132","20,263","13,321","4,220","1,460,004","502,903"
Already Filed Taxes: IRS Data Not Transferred,"1,358,079","1,331,351","911,372","411,831","271,227","136,024","4,419,884","4,380,531"
Already Filed Taxes: IRS Data Transferred,"601,007","1,444,554","1,029,837","443,903","259,653","144,027","3,922,981","4,887,231"
Tax Filing Status Unknown,133,255,242,189,115,60,994,"1,131"
Application Completion Times (Minutes:Seconds) Among Non-Users of the IRS Data Retrieval Tool,,,,,,,,
All Applicants,29:15,25:52,25:18,26:39,23:39,21:02,27:30,N/A
"Dependent, Original, and Full Form",43:07,37:55,37:25,40:12,35:25,30:19,41:14,N/A
"Dependent, Original, and EZ Form",36:05,33:30,33:49,35:26,30:16,26:21,34:39,N/A
"Dependent, Renewal, and Full Form",31:19,31:00,30:22,31:34,26:45,24:03,31:09,N/A
"Dependent, Renewal, and EZ Form",20:31,21:16,21:37,23:03,18:49,16:35,20:51,N/A
"Independent, Original, and Full Form",24:44,24:18,24:32,24:58,22:37,20:34,24:16,N/A
"Independent, Original, and EZ Form",20:12,20:16,20:46,20:58,18:37,16:36,20:07,N/A
"Independent, Renewal, and Full Form",18:44,18:23,17:51,18:17,15:32,14:06,18:27,N/A
"Independent, Renewal, and EZ Form",13:19,13:28,13:38,13:54,11:23,10:16,13:21,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
