"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
Associate Degree (Occupational or Technical),"962,233","1,037,493","795,037","362,265","228,666","107,328","3,493,022","3,511,014"
Associate Degree (General Education or Transfer),"806,951","769,677","596,694","243,014","148,940","63,873","2,629,149","2,654,700"
Certificate or Diploma (Less than 2 Years),"256,214","439,732","421,956","223,771","192,361","105,410","1,639,444","1,713,121"
Certificate or Diploma (At Least 2 Years),"134,425","146,429","117,186","52,702","31,925","13,919","496,586","494,487"
Teaching Credential (Nondegree),"28,945","23,947","21,619","9,491","6,491","3,392","93,885","92,327"
Graduate or Professional Degree,"877,496","660,452","400,507","150,830","103,632","50,800","2,243,717","2,221,277"
Other/Undecided,"388,642","314,736","269,355","137,051","81,084","35,583","1,226,451","1,163,713"
Blank,"19,137","17,207","15,237","8,411","5,960","3,254","69,206","74,631"
Parent Education Level,,,,,,,,
Neither Parent Completed College or Beyond,"3,835,020","3,041,352","2,233,499","988,764","665,311","317,779","11,081,725","11,083,675"
One Parent Completed College or Beyond,"2,179,664","1,554,062","1,040,370","411,448","271,035","123,908","5,580,487","5,579,446"
Both Parents Completed College or Beyond,"2,056,166","1,194,096","701,461","253,900","172,838","76,027","4,454,488","4,453,579"
Pell Eligibility Status,,,,,,,,
Pell Eligible,"3,750,247","2,948,505","2,185,467","939,596","647,202","319,976","10,790,993","12,687,102"
Pell Ineligible,"4,320,603","2,841,005","1,789,863","714,516","461,982","197,738","10,325,707","8,429,598"
Dependency Status,,,,,,,,
Dependent,"4,339,920","2,216,288","1,255,567","397,550","250,735","111,152","8,571,212","8,616,786"
Independent,"3,730,930","3,573,222","2,719,763","1,256,562","858,449","406,562","12,545,488","12,499,914"
Renewal Application Status,,,,,,,,
Original,"3,291,130","2,651,469","2,311,194","1,262,845","902,895","433,691","10,853,224",N/A
Renewal,"4,779,720","3,138,041","1,664,136","391,267","206,289","84,023","10,263,476",N/A
Source of Application/Correction,,,,,,,,
FAFSA on the Web (FOTW),"7,970,975","5,544,606","3,737,451","1,535,054","1,010,164","463,541","20,261,791","14,591,010"
Web Financial Aid Administrator (Web FAA),"55,855","105,185","105,763","50,021","42,855","26,249","385,928","2,082,844"
Other Electronic (School Batch),"15,500","115,235","119,681","61,281","50,811","25,685","388,193","4,136,720"
Paper FAFSA,"27,163","23,056","11,553","7,353","5,128","2,172","76,425","242,682"
FAFSA on the Phone/FSAIC Correction,"1,357","1,428",882,403,226,67,"4,363","63,444"
Schools Listed,,,,,,,,
Freshmen Filing Original Application: 1 School ,"1,222,180","1,386,030","1,363,241","793,993","584,296","300,421","5,650,161","5,443,601"
Freshmen Filing Original Application: 2 Schools ,"280,719","132,464","87,851","53,049","35,127","14,257","603,467","826,182"
Freshmen Filing Original Application: 3 Schools ,"200,534","55,667","30,408","19,754","12,464","3,978","322,805","360,324"
Freshmen Filing Original Application: 4 Schools ,"157,153","30,146","15,356","11,345","7,015","2,114","223,129","230,085"
Freshmen Filing Original Application: 5 Schools ,"111,491","16,365","8,154","6,432","3,968","1,057","147,467","151,264"
Freshmen Filing Original Application: 6 Schools ,"84,362","10,441","5,234","4,603","2,559",597,"107,796","109,679"
Freshmen Filing Original Application: 7 Schools ,"60,736","5,810","2,975","2,694","1,658",382,"74,255","76,376"
Freshmen Filing Original Application: 8 Schools ,"47,587","3,803","2,023","1,932","1,136",212,"56,693","57,669"
Freshmen Filing Original Application: 9 Schools ,"36,100","2,862","1,599","1,449",837,170,"43,017","45,442"
Freshmen Filing Original Application: 10 Schools ,"77,597","5,298","2,992","3,097","1,690",353,"91,027","86,887"
Not Freshmen Filing Original Application: 1 School ,"4,930,399","3,683,472","2,232,375","675,403","413,983","177,773","12,113,405","11,391,646"
Not Freshmen Filing Original Application: 2 Schools ,"428,774","270,939","135,226","46,263","25,933","10,113","917,248","1,372,898"
Not Freshmen Filing Original Application: 3 Schools ,"170,530","89,769","42,680","15,492","8,557","3,016","330,044","443,034"
Not Freshmen Filing Original Application: 4 Schools ,"94,824","41,546","19,338","7,493","3,998","1,456","168,655","210,298"
Not Freshmen Filing Original Application: 5 Schools ,"56,158","21,315","9,943","3,996","2,259",672,"94,343","113,991"
Not Freshmen Filing Original Application: 6 Schools ,"35,562","12,389","5,786","2,517","1,329",401,"57,984","68,007"
Not Freshmen Filing Original Application: 7 Schools ,"22,773","7,368","3,427","1,521",758,245,"36,092","42,209"
Not Freshmen Filing Original Application: 8 Schools ,"16,120","4,647","2,242","1,025",508,170,"24,712","28,594"
Not Freshmen Filing Original Application: 9 Schools ,"11,828","3,455","1,654",716,422,119,"18,194","21,303"
Not Freshmen Filing Original Application: 10 Schools ,"25,423","5,724","2,826","1,338",687,208,"36,206","37,211"
Parent (Dependent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"215,994","145,379","112,257","44,066","29,793","15,616","563,105","582,017"
Will File but Have Not Yet Completed Taxes,"1,767,058","139,335","54,657","8,378","5,225","1,531","1,976,184","905,687"
Already Filed Taxes,"2,301,544","1,877,752","1,034,321","317,456","200,783","87,512","5,819,368","7,025,383"
Tax Filing Status Unknown,"55,324","53,822","54,332","27,650","14,934","6,493","212,555","103,699"
Student (Independent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"645,588","560,312","505,996","266,889","187,217","96,135","2,262,137","2,239,374"
Will File but Have Not Yet Completed Taxes,"879,662","102,533","53,943","20,893","15,341","4,773","1,077,145","590,645"
Already Filed Taxes,"2,205,433","2,910,011","2,159,436","968,527","655,711","305,576","9,204,694","9,668,293"
Tax Filing Status Unknown,247,366,388,253,180,78,"1,512","1,602"
Application Completion Times (Minutes:Seconds) Among Non-Users of the IRS Data Retrieval Tool,,,,,,,,
All Applicants,34:21,30:46,30:46,30:21,26:37,23:18,32:00,N/A
"Dependent, Original, and Full Form",50:28,44:36,45:18,46:03,41:11,33:57,47:36,N/A
"Dependent, Original, and EZ Form",40:53,37:28,38:49,41:27,36:09,30:24,39:13,N/A
"Dependent, Renewal, and Full Form",39:37,39:56,41:14,41:00,35:54,31:24,39:55,N/A
"Dependent, Renewal, and EZ Form",27:16,28:47,29:33,30:56,27:14,24:02,28:08,N/A
"Independent, Original, and Full Form",27:22,27:07,27:52,27:34,24:26,22:01,27:04,N/A
"Independent, Original, and EZ Form",21:29,22:04,23:13,23:32,20:11,18:05,22:07,N/A
"Independent, Renewal, and Full Form",22:34,23:06,23:26,22:35,18:23,16:53,22:49,N/A
"Independent, Renewal, and EZ Form",16:29,17:54,18:32,18:28,14:13,13:13,17:20,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
