"Free Application for Federal Student Aid (FAFSA)
By Various Demographics Characteristics
Original,"2,645,613","2,267,326","1,907,582","1,739,216","701,328","599,720","333,906","10,194,691",N/A
Renewal,"2,773,705","2,717,999","1,733,771","1,176,783","197,441","127,226","48,000","8,774,925",N/A
Source of Application/Correction,,,,,,,,,
FAFSA on the Web (FOTW),"5,411,560","4,967,934","3,613,155","2,882,478","883,447","712,919","373,691","18,845,184","15,106,961"
Web Financial Aid Administrator (Web FAA),"4,840","11,184","20,110","25,723","11,248","11,561","6,686","91,352","1,033,764"
Other Electronic (School Batch),27,294,829,"1,274",564,467,284,"3,739","2,668,575"
Paper FAFSA,"2,877","5,750","7,005","6,187","3,397","1,920","1,186","28,322","138,684"
FAFSA on the Phone/FSAIC Correction,14,163,254,337,113,79,59,"1,019","21,632"
Schools Listed,,,,,,,,,
Freshmen Filing Original Application: 1 School ,"627,108","731,781","780,435","816,711","358,080","330,150","193,957","3,838,222","3,825,001"
Freshmen Filing Original Application: 2 Schools ,"188,432","157,431","101,247","78,228","28,428","20,755","11,847","586,368","694,296"
Freshmen Filing Original Application: 3 Schools ,"180,123","106,858","51,266","37,643","15,019","9,904","5,246","406,059","407,542"
Freshmen Filing Original Application: 4 Schools ,"167,057","77,122","28,610","20,725","9,459","5,333","2,580","310,886","298,482"
Freshmen Filing Original Application: 5 Schools ,"146,795","55,750","17,227","13,141","6,635","3,226","1,505","244,279","233,578"
Freshmen Filing Original Application: 6 Schools ,"122,839","41,768","11,338","8,716","4,862","2,039",934,"192,496","186,930"
Freshmen Filing Original Application: 7 Schools ,"97,209","29,213","6,998","6,001","3,494","1,467",585,"144,967","146,183"
Freshmen Filing Original Application: 8 Schools ,"81,900","23,990","5,024","4,411","2,751","1,038",438,"119,552","122,633"
Freshmen Filing Original Application: 9 Schools ,"68,645","18,609","3,808","3,523","2,256",861,345,"98,047","110,363"
Freshmen Filing Original Application: 10 Schools ,"180,849","38,856","5,907","6,661","4,975","1,467",518,"239,233","221,860"
Not Freshmen Filing Original Application: 1 School ,"2,947,301","3,077,621","2,256,827","1,683,518","402,726","309,502","144,888","10,822,383","10,351,715"
Not Freshmen Filing Original Application: 2 Schools ,"289,102","296,113","205,143","133,404","32,898","23,149","10,798","990,607","1,276,667"
Not Freshmen Filing Original Application: 3 Schools ,"121,411","126,022","75,056","47,152","12,029","8,393","3,846","393,909","458,834"
Not Freshmen Filing Original Application: 4 Schools ,"68,003","71,826","37,012","22,520","5,971","3,886","1,794","211,012","234,081"
Not Freshmen Filing Original Application: 5 Schools ,"42,265","44,243","20,753","12,370","3,337","2,115",963,"126,046","137,585"
Not Freshmen Filing Original Application: 6 Schools ,"27,574","27,953","12,186","7,405","2,003","1,260",568,"78,949","86,062"
Not Freshmen Filing Original Application: 7 Schools ,"18,793","18,583","7,753","4,666","1,264",784,356,"52,199","57,327"
Not Freshmen Filing Original Application: 8 Schools ,"13,765","13,553","5,366","3,215",858,580,251,"37,588","40,972"
Not Freshmen Filing Original Application: 9 Schools ,"10,639","10,151","3,791","2,460",700,445,246,"28,432","31,665"
Not Freshmen Filing Original Application: 10 Schools ,"19,508","17,882","5,606","3,529","1,024",592,241,"48,382","47,840"
Parent (Dependent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,,
Not Going to File Taxes,"175,555","149,037","99,948","86,430","22,981","18,757","10,955","563,663","591,532"
Will File but Have Not Yet Completed Taxes,"29,576","34,886","14,176","13,486","2,358","1,539",684,"96,705","53,335"
Already Filed Taxes: IRS Data Not Transferred,"1,243,454","1,438,475","1,335,586","950,384","201,106","138,133","74,807","5,381,945","5,410,582"
Already Filed Taxes: IRS Data Transferred,"1,652,475","945,884",40,0,0,0,0,"2,598,399","2,717,521"
Tax Filing Status Unknown,"46,564","50,807","41,148","42,456","13,179","10,639","5,405","210,198","104,315"
Student (Independent) Tax Filing Status and IRS Data Retrieval Tool Usage,,,,,,,,,
Not Going to File Taxes,"417,628","446,179","368,562","346,467","135,534","123,561","67,601","1,905,532","1,845,656"
Will File but Have Not Yet Completed Taxes,"20,595","26,661","18,222","19,277","6,523","5,580","2,446","99,304","67,592"
Already Filed Taxes: IRS Data Not Transferred,"620,119","1,008,004","1,763,509","1,457,328","516,982","428,676","219,969","6,014,587","6,005,165"
Already Filed Taxes: IRS Data Transferred,"1,213,330","885,269",0,0,0,0,0,"2,098,599","2,172,892"
Tax Filing Status Unknown,22,123,162,171,106,61,39,684,"1,026"
Application Completion Times (Minutes:Seconds),,,,,,,,,
All Applicants,32:17,32:07,31:32,31:46,28:25,25:40,24:38,31:26,N/A
"Dependent, Original, and Full Form",53:33,51:34,48:59,48:47,45:32,40:23,37:03,50:52,N/A
"Dependent, Original, and EZ Form",44:31,43:18,40:38,40:48,37:10,32:19,30:17,41:43,N/A
"Dependent, Renewal, and Full Form",30:24,35:27,37:44,38:05,36:18,34:22,31:55,34:32,N/A
"Dependent, Renewal, and EZ Form",23:51,26:54,27:18,27:52,25:20,24:01,22:15,26:01,N/A
"Independent, Original, and Full Form",25:12,27:34,28:36,29:10,25:31,23:34,22:41,27:00,N/A
"Independent, Original, and EZ Form",22:26,22:50,23:11,24:07,20:38,18:47,18:11,22:21,N/A
"Independent, Renewal, and Full Form",14:09,17:15,20:20,20:25,19:07,18:17,17:12,17:28,N/A
"Independent, Renewal, and EZ Form",11:16,12:54,15:07,15:18,13:55,12:58,12:13,13:18,N/A
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,,
