"Free Application for Federal Student Aid (FAFSA)
By Various Demographic Characteristics
One Parent Completed College or Beyond,"1,535,978","1,191,265","880,826","362,504","265,812","131,374","4,367,759","4,366,785"
Both Parents Completed College or Beyond,"1,530,369","982,724","618,065","231,054","169,235","80,879","3,612,326","3,612,014"
Pell Eligibility Status,,,,,,,,
Pell Eligible,"2,325,031","1,975,912","1,611,279","743,263","593,358","318,715","7,567,558","8,271,575"
Pell Ineligible,"3,300,097","2,396,058","1,696,286","696,190","511,172","245,110","8,844,913","8,140,896"
Dependency Status,,,,,,,,
Dependent,"3,300,404","1,921,880","1,190,489","371,670","264,236","115,154","7,163,833","7,180,043"
Independent,"2,324,724","2,450,090","2,117,076","1,067,783","840,294","448,671","9,248,638","9,232,428"
Renewal Application Status,,,,,,,,
Original,"2,510,072","2,192,337","2,112,211","1,180,706","958,449","507,626","9,461,401",N/A
Renewal,"3,115,056","2,179,633","1,195,354","258,747","146,081","56,199","6,951,070",N/A
Source of Application/Correction,,,,,,,,
FAFSA on the Web (FOTW),"5,488,943","4,047,595","2,978,400","1,250,696","915,042","454,371","15,135,047","11,470,660"
Web Financial Aid Administrator (Web FAA),"51,384","125,935","141,219","70,965","73,109","38,816","501,428","1,741,191"
Other Electronic (School Batch),"31,080","150,343","164,029","106,660","109,152","67,404","628,668","2,971,378"
Paper FAFSA,"53,721","48,097","23,917","11,132","7,227","3,234","147,328","190,948"
FAFSA on the Phone/FSAIC Correction,0,0,0,0,0,0,0,"38,294"
Schools Listed,,,,,,,,
Freshmen Filing Original Application: 1 School ,"866,294","1,086,904","1,226,415","750,943","649,216","361,815","4,941,587","4,787,906"
Freshmen Filing Original Application: 2 Schools ,"223,218","104,792","64,021","39,140","26,886","12,310","470,367","621,252"
Freshmen Filing Original Application: 3 Schools ,"162,171","43,529","19,467","13,591","8,614","3,049","250,421","271,654"
Freshmen Filing Original Application: 4 Schools ,"128,696","23,096","8,855","7,132","4,756","1,463","173,998","177,100"
Freshmen Filing Original Application: 5 Schools ,"90,343","10,687","3,948","3,645","2,303",549,"111,475","114,129"
Freshmen Filing Original Application: 6 Schools ,"67,051","6,257","2,299","2,395","1,450",316,"79,768","80,699"
Freshmen Filing Original Application: 7 Schools ,"45,350","3,068","1,130","1,266",813,173,"51,800","53,161"
Freshmen Filing Original Application: 8 Schools ,"32,771","1,756",693,841,606,97,"36,764","37,924"
Freshmen Filing Original Application: 9 Schools ,"23,575","1,103",441,598,390,76,"26,183","28,316"
Freshmen Filing Original Application: 10 Schools ,"50,881","2,448","1,079","1,434",917,140,"56,899","53,525"
Not Freshmen Filing Original Application: 1 School ,"3,371,528","2,757,334","1,809,911","557,389","374,672","170,076","9,040,910","8,651,112"
Not Freshmen Filing Original Application: 2 Schools ,"296,006","211,443","113,897","39,192","21,850","9,394","691,782","937,075"
Not Freshmen Filing Original Application: 3 Schools ,"111,803","64,270","30,753","11,344","6,307","2,457","226,934","291,095"
Not Freshmen Filing Original Application: 4 Schools ,"59,848","27,155","12,502","5,047","2,720",969,"108,241","133,386"
Not Freshmen Filing Original Application: 5 Schools ,"33,267","12,742","5,494","2,315","1,252",439,"55,509","68,353"
Not Freshmen Filing Original Application: 6 Schools ,"20,451","6,494","2,747","1,225",711,187,"31,815","38,807"
Not Freshmen Filing Original Application: 7 Schools ,"12,348","3,448","1,445",649,335,115,"18,340","22,307"
Not Freshmen Filing Original Application: 8 Schools ,"8,202","1,854",813,413,224,62,"11,568","14,227"
Not Freshmen Filing Original Application: 9 Schools ,"5,933","1,121",555,286,157,52,"8,104","10,168"
Not Freshmen Filing Original Application: 10 Schools ,"15,392","2,469","1,100",608,351,86,"20,006","20,275"
Parent (Dependent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"147,511","109,565","95,571","37,883","29,428","15,240","435,198","423,801"
Will File but Have Not Yet Completed Taxes,"1,360,639","122,068","45,913","6,193","4,819","1,455","1,541,087","747,116"
Already Filed Taxes,"1,790,846","1,688,705","1,048,116","327,102","229,596","98,238","5,182,603","5,984,760"
Tax Filing Status Unknown,"1,408","1,542",889,492,393,221,"4,945","24,366"
Student (Independent) Tax Filing Status,,,,,,,,
Not Going to File Taxes,"320,280","279,379","283,517","163,744","139,075","79,825","1,265,820","1,245,402"
Will File but Have Not Yet Completed Taxes,"597,628","66,262","34,522","13,508","11,872","4,318","728,110","389,558"
Already Filed Taxes,"1,406,362","2,103,875","1,798,603","890,235","689,135","364,431","7,252,641","7,595,321"
Tax Filing Status Unknown,454,574,434,296,212,97,"2,067","2,147"
Data definitions and notes available at: www.StudentAid.gov/FAFSA-data,,,,,,,,
